CST,最高温度C,平均温度C,最低温度C,露点C,MeanDew PointC,Min DewpointC,Max 湿度, Mean 湿度, Min 湿度, Max 海平面气压hPa, Mean 海平面气压hPa, Min 海平面气压hPa, Max 能见度Km, Mean 能见度Km, Min 能见度kM, Max 风速Km/h, Mean 风速Km/h, Max 瞬间风速Km/h,降水量mm, CloudCover, 活动,WindDirDegrees
2015-4-22,26,16,7,6,2,-3,81,36,10,1020,1016,1013,18,13,8,29,10,40,0.00,,,192
2015-4-23,30,20,11,7,1,-16,72,34,4,1022,1015,1012,24,10,6,40,10,,0.00,,,25
2015-4-24,27,17,7,8,2,-3,87,39,9,1024,1020,1016,14,11,6,26,8,,0.00,,,181
2015-4-25,32,20,9,11,4,-2,76,35,9,1017,1014,1010,11,8,6,29,10,,0.00,,,257
2015-4-26,31,21,12,15,12,8,94,48,19,1012,1009,1006,11,6,3,26,11,,0.00,,,177
2015-4-27,28,22,17,16,13,11,82,58,33,1007,1005,1000,10,7,5,26,10,26,1.02,4,中雨-雷暴,124
2015-4-28,26,21,16,14,12,9,82,59,28,1014,1010,1006,14,10,3,14,8,,0.00,,,50
2015-4-29,27,20,14,15,14,12,94,64,37,1015,1013,1009,7,5,2,21,8,35,0.00,,,152
2015-4-30,30,23,16,16,14,12,88,57,23,1013,1010,1008,10,5,2,21,10,35,0.00,,,142
2015-5-1,26,20,14,16,13,10,94,72,43,1012,1009,1008,13,6,2,43,11,,7.11,8,中雨,34
2015-5-2,24,18,13,15,13,11,94,68,41,1012,1010,1007,18,10,6,18,8,,0.00,,,109
2015-5-3,25,19,13,14,-3,-12,100,30,4,1017,1013,1010,27,9,2,40,16,64,0.00,,,342
2015-5-4,24,16,8,4,-6,-14,37,18,5,1019,1014,1008,27,21,11,32,18,29,0.00,,,263
2015-5-5,29,19,10,7,1,-10,71,31,4,1009,1005,1002,27,13,8,26,10,43,0.00,,,12
2015-5-6,22,18,14,-2,-7,-12,27,17,4,1012,1011,1009,27,21,11,21,13,,0.00,,,96
2015-5-7,27,18,9,7,1,-5,66,32,12,1012,1011,1008,18,11,6,26,10,32,0.00,1,中雨,187
2015-5-8,25,18,11,11,6,0,71,45,20,1015,1010,1007,10,7,3,21,8,,0.00,,,74
2015-5-9,16,13,11,8,6,2,77,59,31,1019,1017,1015,18,11,6,26,10,,0.00,8,中雨,139
2015-5-10,12,11,9,9,7,3,100,82,42,1017,1015,1013,11,5,2,18,6,,17.02,8,中雨,37
2015-5-11,20,14,9,9,6,1,100,59,23,1014,1007,1000,24,12,3,35,11,,0.00,3,中雨,269
2015-5-12,28,19,11,11,6,2,82,43,11,1000,995,992,24,16,10,35,14,50,0.00,,中雨,334
2015-5-13,32,21,10,15,9,1,94,51,11,1001,994,991,8,7,3,32,6,50,0.00,,,47
2015-5-14,27,22,17,8,2,-1,43,26,12,1012,1007,1002,21,14,8,50,24,,0.00,,,357
